Batch Name,Process,Manufacturer,DoM,Unit Operation,Parameter,Value
A0001,Core Production Process,Manufacturer_A,2022-01-01,A,Process Time,49.49
A0001,Core Production Process,Manufacturer_A,2022-01-01,A,Temperature Index,101.723
A0001,Core Production Process,Manufacturer_A,2022-01-01,A,Flow Setting,16.916
A0001,Core Production Process,Manufacturer_A,2022-01-01,A,Material Ratio,1.077
A0001,Core Production Process,Manufacturer_A,2022-01-01,B,Mixing Rate,277.974
A0001,Core Production Process,Manufacturer_A,2022-01-01,B,Hold Duration,102.603
A0001,Core Production Process,Manufacturer_A,2022-01-01,B,Energy Input,1472.632
A0001,Core Production Process,Manufacturer_A,2022-01-01,B,Transfer Velocity,6.916
A0001,Core Production Process,Manufacturer_A,2022-01-01,B,Stability Metric,98.367
A0001,Core Production Process,Manufacturer_A,2022-01-01,C,Final Yield,90.969
A0001,Core Production Process,Manufacturer_A,2022-01-01,C,Quality Index,86.799
A0001,Core Production Process,Manufacturer_A,2022-01-01,C,Cycle Duration,151.369
A0001,Core Production Process,Manufacturer_A,2022-01-01,C,System Load,403.991
C0001,Core Production Process,Manufacturer_C,2022-01-21,A,Process Time,47.278
C0001,Core Production Process,Manufacturer_C,2022-01-21,A,Temperature Index,106.041
C0001,Core Production Process,Manufacturer_C,2022-01-21,A,Flow Setting,12.67
C0001,Core Production Process,Manufacturer_C,2022-01-21,A,Material Ratio,0.833
C0001,Core Production Process,Manufacturer_C,2022-01-21,B,Mixing Rate,336.011
C0001,Core Production Process,Manufacturer_C,2022-01-21,B,Hold Duration,85.517
C0001,Core Production Process,Manufacturer_C,2022-01-21,B,Energy Input,1352.602
C0001,Core Production Process,Manufacturer_C,2022-01-21,B,Transfer Velocity,7.413
C0001,Core Production Process,Manufacturer_C,2022-01-21,B,Stability Metric,96.948
C0001,Core Production Process,Manufacturer_C,2022-01-21,C,Final Yield,91.799
C0001,Core Production Process,Manufacturer_C,2022-01-21,C,Quality Index,88.47
C0001,Core Production Process,Manufacturer_C,2022-01-21,C,Cycle Duration,119.817
C0001,Core Production Process,Manufacturer_C,2022-01-21,C,System Load,446.704
B0001,Core Production Process,Manufacturer_B,2022-02-07,A,Process Time,51.495
B0001,Core Production Process,Manufacturer_B,2022-02-07,A,Temperature Index,104.664
B0001,Core Production Process,Manufacturer_B,2022-02-07,A,Flow Setting,13.317
B0001,Core Production Process,Manufacturer_B,2022-02-07,A,Material Ratio,
B0001,Core Production Process,Manufacturer_B,2022-02-07,B,Mixing Rate,305.993
B0001,Core Production Process,Manufacturer_B,2022-02-07,B,Hold Duration,105.271
B0001,Core Production Process,Manufacturer_B,2022-02-07,B,Energy Input,1494.212
B0001,Core Production Process,Manufacturer_B,2022-02-07,B,Transfer Velocity,8.841
B0001,Core Production Process,Manufacturer_B,2022-02-07,B,Stability Metric,101.495
B0001,Core Production Process,Manufacturer_B,2022-02-07,C,Final Yield,96.187
B0001,Core Production Process,Manufacturer_B,2022-02-07,C,Quality Index,92.534
B0001,Core Production Process,Manufacturer_B,2022-02-07,C,Cycle Duration,144.937
B0001,Core Production Process,Manufacturer_B,2022-02-07,C,System Load,
B0002,Core Production Process,Manufacturer_B,2022-02-25,A,Process Time,48.13
B0002,Core Production Process,Manufacturer_B,2022-02-25,A,Temperature Index,103.295
B0002,Core Production Process,Manufacturer_B,2022-02-25,A,Flow Setting,12.084
B0002,Core Production Process,Manufacturer_B,2022-02-25,A,Material Ratio,0.835
B0002,Core Production Process,Manufacturer_B,2022-02-25,B,Mixing Rate,356.817
B0002,Core Production Process,Manufacturer_B,2022-02-25,B,Hold Duration,88.366
B0002,Core Production Process,Manufacturer_B,2022-02-25,B,Energy Input,1471.861
B0002,Core Production Process,Manufacturer_B,2022-02-25,B,Transfer Velocity,8.697
B0002,Core Production Process,Manufacturer_B,2022-02-25,B,Stability Metric,99.229
B0002,Core Production Process,Manufacturer_B,2022-02-25,C,Final Yield,95.42
B0002,Core Production Process,Manufacturer_B,2022-02-25,C,Quality Index,87.506
B0002,Core Production Process,Manufacturer_B,2022-02-25,C,Cycle Duration,159.708
B0002,Core Production Process,Manufacturer_B,2022-02-25,C,System Load,470.216
B0003,Core Production Process,Manufacturer_B,2022-03-17,A,Process Time,37.284
B0003,Core Production Process,Manufacturer_B,2022-03-17,A,Temperature Index,105.848
B0003,Core Production Process,Manufacturer_B,2022-03-17,A,Flow Setting,12.601
B0003,Core Production Process,Manufacturer_B,2022-03-17,A,Material Ratio,0.774
B0003,Core Production Process,Manufacturer_B,2022-03-17,B,Mixing Rate,365.263
B0003,Core Production Process,Manufacturer_B,2022-03-17,B,Hold Duration,100.132
B0003,Core Production Process,Manufacturer_B,2022-03-17,B,Energy Input,1587.972
B0003,Core Production Process,Manufacturer_B,2022-03-17,B,Transfer Velocity,8.726
B0003,Core Production Process,Manufacturer_B,2022-03-17,B,Stability Metric,100.347
B0003,Core Production Process,Manufacturer_B,2022-03-17,C,Final Yield,94.113
B0003,Core Production Process,Manufacturer_B,2022-03-17,C,Quality Index,91.127
B0003,Core Production Process,Manufacturer_B,2022-03-17,C,Cycle Duration,156.093
B0003,Core Production Process,Manufacturer_B,2022-03-17,C,System Load,398.9
B0004,Core Production Process,Manufacturer_B,2022-04-02,A,Process Time,45.755
B0004,Core Production Process,Manufacturer_B,2022-04-02,A,Temperature Index,104.107
B0004,Core Production Process,Manufacturer_B,2022-04-02,A,Flow Setting,12.048
B0004,Core Production Process,Manufacturer_B,2022-04-02,A,Material Ratio,0.934
B0004,Core Production Process,Manufacturer_B,2022-04-02,B,Mixing Rate,297.619
B0004,Core Production Process,Manufacturer_B,2022-04-02,B,Hold Duration,96.885
B0004,Core Production Process,Manufacturer_B,2022-04-02,B,Energy Input,1626.545
B0004,Core Production Process,Manufacturer_B,2022-04-02,B,Transfer Velocity,8.951
B0004,Core Production Process,Manufacturer_B,2022-04-02,B,Stability Metric,101.22
B0004,Core Production Process,Manufacturer_B,2022-04-02,C,Final Yield,90.35
B0004,Core Production Process,Manufacturer_B,2022-04-02,C,Quality Index,89.35
B0004,Core Production Process,Manufacturer_B,2022-04-02,C,Cycle Duration,168.303
B0004,Core Production Process,Manufacturer_B,2022-04-02,C,System Load,474.873
B0005,Core Production Process,Manufacturer_B,2022-04-23,A,Process Time,48.718
B0005,Core Production Process,Manufacturer_B,2022-04-23,A,Temperature Index,100.634
B0005,Core Production Process,Manufacturer_B,2022-04-23,A,Flow Setting,11.528
B0005,Core Production Process,Manufacturer_B,2022-04-23,A,Material Ratio,0.998
B0005,Core Production Process,Manufacturer_B,2022-04-23,B,Mixing Rate,339.127
B0005,Core Production Process,Manufacturer_B,2022-04-23,B,Hold Duration,91.166
B0005,Core Production Process,Manufacturer_B,2022-04-23,B,Energy Input,2116.092
B0005,Core Production Process,Manufacturer_B,2022-04-23,B,Transfer Velocity,8.573
B0005,Core Production Process,Manufacturer_B,2022-04-23,B,Stability Metric,99.106
B0005,Core Production Process,Manufacturer_B,2022-04-23,C,Final Yield,95.45
B0005,Core Production Process,Manufacturer_B,2022-04-23,C,Quality Index,94.481
B0005,Core Production Process,Manufacturer_B,2022-04-23,C,Cycle Duration,120.485
B0005,Core Production Process,Manufacturer_B,2022-04-23,C,System Load,414.334
B0006,Core Production Process,Manufacturer_B,2022-05-11,A,Process Time,52.334
B0006,Core Production Process,Manufacturer_B,2022-05-11,A,Temperature Index,102.686
B0006,Core Production Process,Manufacturer_B,2022-05-11,A,Flow Setting,12.499
B0006,Core Production Process,Manufacturer_B,2022-05-11,A,Material Ratio,0.842
B0006,Core Production Process,Manufacturer_B,2022-05-11,B,Mixing Rate,334.963
B0006,Core Production Process,Manufacturer_B,2022-05-11,B,Hold Duration,101.047
B0006,Core Production Process,Manufacturer_B,2022-05-11,B,Energy Input,1676.34
B0006,Core Production Process,Manufacturer_B,2022-05-11,B,Transfer Velocity,9.53
B0006,Core Production Process,Manufacturer_B,2022-05-11,B,Stability Metric,101.282
B0006,Core Production Process,Manufacturer_B,2022-05-11,C,Final Yield,98.191
B0006,Core Production Process,Manufacturer_B,2022-05-11,C,Quality Index,91.932
B0006,Core Production Process,Manufacturer_B,2022-05-11,C,Cycle Duration,148.233
B0006,Core Production Process,Manufacturer_B,2022-05-11,C,System Load,451.746
C0002,Core Production Process,Manufacturer_C,2022-05-29,A,Process Time,46.64
C0002,Core Production Process,Manufacturer_C,2022-05-29,A,Temperature Index,98.093
C0002,Core Production Process,Manufacturer_C,2022-05-29,A,Flow Setting,12.947
C0002,Core Production Process,Manufacturer_C,2022-05-29,A,Material Ratio,0.854
C0002,Core Production Process,Manufacturer_C,2022-05-29,B,Mixing Rate,323.826
C0002,Core Production Process,Manufacturer_C,2022-05-29,B,Hold Duration,88.891
